dataset,layer,kernel,is_trend,n_series,n_points,mean,std,rms,abs_mean,max_abs,energy_sum,energy_mean,energy_ratio
australian_electricity_demand_dataset,seasonal_k005,5,0,5,1155264,-1.5411941399304044e-08,23.12990483976532,23.12990483976532,13.289222048574395,1029.0234375,618057573.0900167,534.9924978965992,3.0019482541426252e-05
australian_electricity_demand_dataset,seasonal_k013,13,0,5,1155264,-0.00017132728748734682,86.10172877553961,86.10172877571006,54.47947217423588,681.728515625,8564558557.413975,7413.507698165939,0.00041598651530779944
australian_electricity_demand_dataset,seasonal_k025,25,0,5,1155264,-0.00041019314412271327,169.00230997724458,169.00230997774239,111.11868780900399,972.43603515625,32996397108.49927,28561.780777812924,0.001602657762085694
australian_electricity_demand_dataset,seasonal_k049,49,0,5,1155264,0.0007618143118541925,266.8114283183231,266.8114283194107,187.44970355753185,1521.3720703125,82241324436.83626,71188.33828184403,0.003994517842038973
australian_electricity_demand_dataset,seasonal_k097,97,0,5,1155264,0.004858368064259487,242.01506705417478,242.0150671029398,172.35029927082493,1727.36328125,67665305895.3648,58571.29270484045,0.0032865505697643573
australian_electricity_demand_dataset,seasonal_k125,125,0,5,1155264,0.0030589297064638065,47.395889135181555,47.395889233893186,30.9604718570108,489.177734375,2595150757.0570455,2246.370316271472,0.00012604826190277363
australian_electricity_demand_dataset,seasonal_k161,161,0,5,1155264,0.005419705595760674,48.97900497451299,48.979005274368085,32.96059358681967,372.1953125,2771412437.04572,2398.9429576665766,0.00013460941325100224
australian_electricity_demand_dataset,seasonal_k201,201,0,5,1155264,0.0074190466854752056,48.47386666610442,48.473867233856254,33.86291963765776,324.212890625,2714542079.291795,2349.715804605523,0.00013184718075673267
australian_electricity_demand_dataset,seasonal_k301,301,0,5,1155264,0.01224716503094071,65.54186433756398,65.54186548181774,47.23855496958599,418.53515625,4962709305.45492,4295.736130836692,0.00024104221328193276
australian_electricity_demand_dataset,trend,-1,1,5,1155264,3500.291089266504,2322.0489371346816,4200.4700898883675,3500.291089266504,9233.9306640625,20383419069863.723,17643948.976046793,0.9900367207590692
bitcoin_dataset_with_missing_values,seasonal_k005,5,0,18,74370,486278728.5772052,4.4564747845411904e+17,4.4564747845411904e+17,4.318237408603783e+16,1.5345804624032432e+19,1.47700065736555e+40,1.9860167505251447e+35,0.001263284523578385
bitcoin_dataset_with_missing_values,seasonal_k013,13,0,18,74370,28592274184841.395,4.243739661639558e+17,4.2437396712716064e+17,4.0659926112471224e+16,1.5964213943958766e+19,1.3393536041838928e+40,1.8009326397524443e+35,0.0011455544527531542
bitcoin_dataset_with_missing_values,seasonal_k025,25,0,18,74370,-8588280043835.898,2.506361620198107e+17,2.5063616216695334e+17,2.219876811236027e+16,1.3455920057745932e+19,4.6718107878884096e+39,6.281848578577934e+34,0.00039958183065082393
bitcoin_dataset_with_missing_values,seasonal_k049,49,0,18,74370,-120792369381034.4,2.9361545302649856e+17,2.936154778732764e+17,2.4504127709554524e+16,1.005694258819734e+19,6.411441332732982e+39,8.621004884675248e+34,0.0005483731215068628
bitcoin_dataset_with_missing_values,seasonal_k097,97,0,18,74370,23886413669516.996,3.0199149465240806e+17,3.0199149559707174e+17,2.6517970900345924e+16,1.0074508385962689e+19,6.782459472021552e+39,9.119886341295618e+34,0.0005801064501951587
bitcoin_dataset_with_missing_values,seasonal_k125,125,0,18,74370,877155045065731.4,2.1127750848404432e+17,2.112793293064859e+17,1.8556614596222724e+16,6.318761383433339e+18,3.3197990827698023e+39,4.46389549921985e+34,0.000283943732979318
bitcoin_dataset_with_missing_values,seasonal_k161,161,0,18,74370,1507126649391779.8,2.096266478989034e+17,2.0963206562944544e+17,1.925591787675588e+16,6.945993184660947e+18,3.2682344906528665e+39,4.394560294006812e+34,0.00027953339295264904
bitcoin_dataset_with_missing_values,seasonal_k201,201,0,18,74370,1844449846211179.0,2.1151096976665514e+17,2.1151901173858128e+17,1.992184338439769e+16,6.610747691305533e+18,3.327335540349031e+39,4.474029232686609e+34,0.0002845883291868394
bitcoin_dataset_with_missing_values,seasonal_k301,301,0,18,74370,2961140053966730.5,2.799786369063518e+17,2.799942954318141e+17,2.8065377765811724e+16,6.820253034908484e+18,5.830370423128005e+39,7.8396805474358e+34,0.0004986738960160033
bitcoin_dataset_with_missing_values,trend,-1,1,18,74370,1.52301502840236e+18,1.2412104869647989e+19,1.250519580302039e+19,1.52301502840236e+18,1.4660334770514087e+20,1.1629974804485625e+43,1.5637992207187878e+38,0.9947163602701808
car_parts_dataset_with_missing_values,seasonal_k005,5,0,2674,130252,0.0,0.6920208367510919,0.6920208367510919,0.3123099837238584,26.0,62376.75,0.47889283849768144,0.36923040520735795
car_parts_dataset_with_missing_values,seasonal_k013,13,0,2674,130252,-7.70368784520427e-05,0.49312871986539775,0.4931287258827725,0.25654168371344394,17.559616088867188,31674.15257475293,0.24317594029076658,0.18749069468633273
car_parts_dataset_with_missing_values,seasonal_k025,25,0,2674,130252,-0.00025748965480910664,0.2264897104736126,0.22648985683986644,0.1304907879700731,4.262226104736328,6681.622191797954,0.051297655251343194,0.039550923530322336
car_parts_dataset_with_missing_values,seasonal_k049,49,0,2674,130252,-0.0006518406876365717,0.16268487004823665,0.16268617593051263,0.09958515623100239,2.000455379486084,3447.3525705995826,0.026466791838893704,0.020406119051331
car_parts_dataset_with_missing_values,seasonal_k097,97,0,2674,130252,-0.0021761571780072003,0.14586728436768387,0.14588351623424128,0.0952170633726501,1.2555313110351562,2772.0231042304326,0.02128200030886614,0.01640860118584506
car_parts_dataset_with_missing_values,seasonal_k125,125,0,2674,130252,-0.0009177572230929675,0.09249319411559741,0.09249774719432967,0.05757383471295067,0.8063786029815674,1114.4143906588745,0.008555833236026123,0.006596619365899749
car_parts_dataset_with_missing_values,seasonal_k161,161,0,2674,130252,-0.00019282395840050385,0.06915854807755757,0.06915881688747122,0.04044952469587345,0.5548756122589111,622.987755297946,0.004782941953274775,0.0036876884628949565
car_parts_dataset_with_missing_values,seasonal_k201,201,0,2674,130252,-1.9356383303787184e-05,0.043090288333201394,0.04309029268069557,0.02479983953040569,0.3429887294769287,241.84843890751446,0.0018567733233080066,0.0014315878447753133
car_parts_dataset_with_missing_values,seasonal_k301,301,0,2674,130252,-1.1148700861315379e-06,0.02408994641191769,0.02408994643771549,0.013808462543820487,0.1935124397277832,75.58855954924191,0.0005803255193720013,0.0004474358550486695
car_parts_dataset_with_missing_values,trend,-1,1,2674,130252,0.5124930669493374,0.44436749703141615,0.6783152777942597,0.5124930669493374,3.202876567840576,59930.45821883793,0.46011161608910367,0.3547499248101923
