timestamp,model,train_source,train,test,seq_len,pred_len,ridge,max_train,seed,train_windows,test_windows,MSE,MAE
2026-05-29 15:03:00,linear,csv,/root/dataset/ETT-small/ETTh1.csv,/root/dataset/ETT-small/ETTh1.csv,96,96,0.0001,,0,59143,19495,0.381480,0.392967
2026-05-29 15:03:12,rlinear,monash,monash[1],/root/dataset/ETT-small/ETTh1.csv,96,96,0.0001,,0,999,19495,8.333050,1.858473
